Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Elévation latérale à genoux sur le bosu + haltère;épaules, abdominaux.;"A genoux au centre du bosu.

Les bras tendus vers l’avant à hauteur du bassin.

Les poignets dirigés vers l’intérieur.

Courbe lombaire neutre.";"Monter les deux bras sur le côté et amener les mains à hauteur des épaules et pas plus !

Revenir lentement en maintenant les bras tendus sans bloquer les coudes, en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;problème d’épaule
Tap up sur le step;Cuisse;Les pieds largeur des hanches et les bras le long du corps.;"Poser la pointe du pied sur le step puis se propulser afin de venir toucher le step avec l’autre

pointe de pied.

Répéter le mouvement alternativement. Les coudes près de la taille suivent le mouvement.";Cardio;3x30 secondes;aucune
Crunch oblique au sol et extension de jambes;Obliques.;"Couché sur le dos avec les mains derrière la tête.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Genoux fléchis.";"Relever le buste et rapprocher le coude du genou.

Tendre l’autre jambe entre 45° et 90°.

Revenir en position départ.

Expirez à chaque extension de jambes.";Crunch;3x 15 à 20 répétitions;aucune
6.8 - Jumping jack touché sol niveau 1;fessier, cuisse, ischio, mollet.;"Debout, les pieds joins.

Les bras le long du corps";"Sauter en écartant les deux pieds sur le côté et venir toucher le sol main la main droite.

Puis se propulser avec force pour décoller du sol jambe tendu et revenir pieds joins.

Répéter le mouvement et toucher le sol avec la main gauche.";;3x 30 secondes;Genoux
;;;;;;
Fente pied arrière TRX + pied avant bosu;Fessier, cuisse, ischio, mollet, cheville.;"Pied avant au centre du bosu.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Pied dans la sangle du TRX.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximum.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Spoas illiaque avec 1 genou au sol;Spoas iliaque;"Le genou de la jambe avant est fléchit et aligné avec la cheville.

La jambe arrière est tendu avec le genou au sol.

Le dos droit et les mains sur la cuisse.";"Faire doucement un déport de poids de corps vers l’avant.

Basculer le bassin.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Spoas illiaque;1x 60 secondes;aucune
Fente sauté bras devant la poitrine;Fessier, cuisse, ischio, mollet.;Pieds joins à la largeur des hanches et les bras le long du corps.;"Sauté tout en fléchissant le genou de la jambe avant et arrière et amener les bras à hauteur de la poitrine.

Maintenir le genou avant sous la cheville et l’arrière cuisse parallèlement au sol.

Remonter en sautant avec force et en même temps amener la jambe arrière devant en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Cardio;3x30 secondes;genoux
Squat swing avec ketter bell;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles.

Les genoux fléchis en position de ½ squat.

Bras tendus vers le sol avec le ketter bell sous le bassin.";"Faire une remontée rapide en enchainant une bascule du bassin et en même temps envoyer

le poids vers l’avant. (à hauteur des yeux)

Redescendre en position initiale en tenant bien les abdominaux et en maitrisant la charge qui

redescend également.

Expirer lors de la montée.";Squat;3x15 répétitions;genoux
Adduction des omoplates contre le mur;Haut du dos.;"Debout, le haut du dos contre le mur.

Les coudes sous l’articulations de l’épaule et contre le mur.

Avancer les pieds à 50 cm du mur.";"En poussant les coudes dans le mur, décoller le haut du dos du mur. Inspirer.

Revenir doucement, le haut du dos contre le mur.";Adduction;2X10 à 12 répétitions;épaule
Rotation interne des épaules debout + élastique;épaules, abdominaux.;"Debout, pieds largeur du bassin.

Les coudes fléchis près de la taille et la main dirigé vers l’extérieur.

Le poignet dirigé vers l’intérieur.

Courbe lombaire neutre.";"Tirer l’élastique près du corps en gardant le coude à la taille.

Revenir lentement en maintenant le coudes à taille en position de départ.

Tenir les abdominaux.";Coiffe;3x15 répétitions;aucune
Gainage planche avant-bras sur le ballon.;Transverse, épaule.;"Coude et épaule alignés en appuie sur le ballon.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 30 à 60 secondes.;problème cardio vasculaire
;;;;;;
Extension de hanche debout sans maintien + élastique;Fessier, épaules, abdominaux.;"Debout en appui sur une jambe avec le genou souple.

Elastique au centre du pied.

Courbe lombaire neutre.";"Faire une extension de hanche en poussant l’élastique.

Maintenir le pied de l’autre jambe bien ancré dans le sol.

Expirer lors de la montée.";Extension;3x15 répétitions;aucune
Pompe sur les pieds avec mains serrées au sol;Pectoraux, triceps.;"Les mains largeur des épaules.

Les pieds écartés, ancrés au sol

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes près du corps.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Gainage oblique avant-bras sur le banc;Obliques et épaules.;"Coude et épaule alignés en appuie sur le banc.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Gainage, Oblique;2x 30 à 60 secondes.;problème cardio vasculaire
Elévation frontale debout 2 sangles + élastique;épaules, abdominaux.;"Debout, pieds largeur du bassin ou un peu plus.

Les bras tendus vers le bas, le long du corps.

Élastique sous les pieds.

Courbe lombaire neutre.";"Tirer l’élastique vers le haut et amener les mains à hauteur de la tête.

Revenir lentement en maintenant les bras tendus en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;instabilité d’épaule
Pullover couché ballon + élastique;Pectoraux, épaules, triceps.;"La tête et les omoplates en appui sur le ballon, bassin relevé et les pieds au sol.

Les bras tendus avec l’élastique à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre les bras tendus derrière la tête sans bloquer les coudes à hauteur des oreilles.

Puis tirer l’élastique bras tendus vers l’avant, à hauteur des côtes.

Tenir les abdominaux.";Pullover;3x12 répétitions;épaule
Antépulsion téléski debout 1 poignet + élastique ou poulie basse;Pectoraux, épaule.;"Debout, les pieds largeur du bassin.

Les bras tendus vers le sol avec les mains sous le bassin.

Courbe lombaire neutre.";"Tirer l’élastique à hauteur des épaules.

Revenir bras tendus en position de départ.

Tenir les abdominaux.";Antépulsion;3x12 répétitions;aucune
Squat sur le bosu + barre;Fessier, cuisse, ischio, mollet.;"Debout sur le bosu, les pieds parallèles.

Positionner la barre sur le haut du dos et non pas sur la nuque.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au bosu.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux, dos
Rowing pieds bosu + poulie basse et corde;Grand dorsal, biceps.;"Debout, les genoux fléchis, les pieds au centre et à l’extrémité du bosu.

Bras tenus vers le bas.

Courbe lombaire neutre.";"Tirer la corde entre le nombril et le sternum.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Rowing;3X15 répétitions;aucune
;;;;;;
10.5 - Développé couché guidé sur machine Smith;pectoraux, triceps.;"Couché sur le banc, courbe lombaire neutre et les pieds ancrés au sol.

Les bras tendus avec la barre à hauteur du haut de la poitrine.

Prise de la barre large.";"Débloquer la barre en la soulevant et en tournant les poignets.

Descendre la barre sur le haut de la poitrine en fléchissant les coudes.

Remonter la barre bras tendu sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";;3x 12 répétitions;Epaule
Pectoraux debout mains derrière le dos;Pectoraux;Debout les pieds largeur des épaules ou un peu plus.;"Amener les deux mains enlacées derrière le dos.

Ouvrir la poitrine.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Pectoraux;1x 60 secondes;instabilité d’épaule
Squat + step touch;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

L’élastique band au-dessus des genoux.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Amener les arrières cuisses parallèlement au sol.

Maintenir la position assise, ouvrir le pied droit et ramener le pieds gauche, puis ouvrir le pied gauche et Ramener le pied droit.

Tenir les abdominaux.";Squat;3x 15 répétitions;aucune
Tirage poitrine pieds bosu + 1 bras et poulie haute;Grand dorsal, biceps.;"Debout, pieds au centre et à l’extrémité du bosu, les genoux fléchis.

Main à l’extrémité de la poulie ou à l’élastique.";"Tirer le coude vers l’arrière et resserrer les omoplates.

La main longe la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Bucheron 1 pieds sol + main ballon + haltère;Grand dorsal, lombaire, biceps.;"En appui sur une jambe avec le genou fléchis. L’autre jambe tendue vers l’arrière.

1 main sur le ballon et le dos incliné vers l’avant.

Bras tendu et dirigé vers le sol.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers le haut et amener l’haltère vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Bucheron;3X15 répétitions;aucune
;;;;;;
Planche sol sur les avant-bras et les pieds;Transverse, épaule.;"Couché sur le dos.

Courbe lombaire neutre.

Main derrière la tête.

Genoux fléchis";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";Gainage;2x 30 à 60 secondes;problème cardiaque et instabilité d’épaule
Abduction couché sol + ballon aux chevilles;Moyen fessier.;"Couché sur le côté. La tête repose sur un bras et l’autre main est en maintien devant le corps.

Ouvrir la cage thoracique et laisser un espace au niveau de votre taille.

Ballon tenu aux chevilles.

Abdominaux contractés.";"Soulever les deux jambes en décollant le genou et le milieu de la cuisse du sol.

Revenir sans poser les pieds au sol et repartir.

Expirer lors du mouvement";Abduction;3x15 répétitions;aucune
1.2 - Gainage oblique au sol couché sur dos + toucher talon;Obliques;"Couché sur le dos avec les mains le long du corps.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Genoux fléchis.";"Relever le buste et rapprocher la main du talon

Revenir en position départ et repartir de l’autre côté.

Expirez à chaque inclinaison.";Abdominaux;1x 15 à 20 répétitions;Aucune
;;;;;;
Tirage poitrine assis + 1 bras + poulie haute;Grand dorsal, biceps.;"Assis sur le ballon, le dos légèrement incliné vers l’avant

Bras tenus vers le haut

Courbe lombaire neutre.";"Tirer le coude vers l’arrière.

La main vient sur le côté de la poitrine

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Arrière cuisse Leg curl;arrière cuisse;"A plat ventre sur le siège.

Les avant-bras et les coudes sur les coussinets.

Les genoux juste en dehors du siège.

Le rouleau est placé derrière la cheville.";"Fléchir les deux genoux et amener le rouleau vers l’arrière cuisse.

Revenir en position de départ plus lentement sans bloquer les genoux.";Cuisse et arrière cuisse;3x 12 répétitions;aucune
10.4 - Presse à cuisse horizontale.;fessier, cuisse, ischio, mollet.;"Assis et le dos contre le siège.

Pieds largeur des épaules sur le haut du plateau.

Les jambes sont tendues et les genoux souples.";"Descendre le siège vers le plateau en fléchissant les genoux jusqu’à faire un angle de 90°

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";;3x 12 répétitions;Aucune
Ischio couché sur le dos avec 1 jambe tendu;Ischios;"Couché au sol.

Les deux genoux fléchis et les pieds au sol.";"Tendre une jambe en poussant le plafond avec votre talon.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Ischio;1x 60 secondes;aucune
;;;;;;
Fente arrière + fente avant avec poids du corps;Fessier, cuisse, ischio, mollet.;Pieds largeur des épaules.;"Faire un pas en arrière et enchainer avec une flexion du genou.

Revenir en position de départ en mettant le poids du corps sur la jambe d’appui.

Repartir avec la même jambe en faisant un pas en avant et une flexion du genou.

Revenir en position de départ.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x12 répétitions;problème de genoux
;;;;;;
4.5 - Squat isométrique contre le mur;fessier, cuisse, ischio, mollet.;"Assis contre le mur, pieds parallèles largeur des épaules.

Les genoux à 90° alignés avec les chevilles";"Maintenir la posture au maximum 60 secondes.

Tenir les abdominaux.";Jambe;3x 30 secondes;problème cardio vasculaire
5.5 - Relevé de bassin + 2 pieds sur banc;fessier, ischio, mollet.;"Couché sur le sol, le fessier près du banc.

Les 2 pieds écartés, largeur du bassin ou pieds joins.";"Soulever les hanches du sol en appuyant sur les talons.

Faire une ligne droite, genoux, hanches, épaules.

Revenir lentement en position de départ sans poser le fessier au sol.

Tenir les abdominaux.

Expirer lors de la monter.";Cuisse;3x 15 répétitions;bas du dos
Dead lift sur une jambe;Fessier, ischio, mollet, dos.;"Debout en appui sur une jambe avec le genou légèrement fléchit.

L’autre jambe est fléchie et le pied ancré dans le sol

Les haltères aux mains";"Pencher le dos (en l’allongeant) à partir des deux hanches et maintenir la courbe lombaire.

Fléchir légèrement le genou en gardant le corps parallèle au sol.

Revenir en tendant le genou et en redressant le tronc.

Tenir les abdominaux.";Dead lift;3x12 répétitions;douleur lombaire et de genou
Trust avec haltère et bande;Fessier, cuisse, ischios.;"Assis devant le banc, le haut du dos en appui sur le siège.

Les pieds au sol un peu plus large que les épaules et les genoux fléchis.

L’haltère repose au-dessus de vos hanches (plis de l’aine)";"Poussez sur les talons dans le sol et monter les hanches vers le plafond aussi haut que

possible, en soulevant la barre et en la soutenant avec les mains.

Puis descendre le fessier en fléchissant les genoux.

Expirer sur le monté et tenir les abdominaux.";Trust;3x12 répétitions;problème lombaire
Superman couché à quatre pattes;Grand dorsal, lombaires, abdominaux.;"A quatre pattes, les mains alignées aux épaules et les genoux à 90° avec les hanches.

La tête dans le prolongement de la colonne vertébrale.

Courbe lombaire neutre.";"Monter le bras droit à hauteur de l’oreille en même temps que la jambe gauche.

Maintenant les hanches parallèles au sol.

Allez chercher l’allongement du bras et de la jambe durant le mouvement.

Revenir lentement en position de départ et alterner avec l’autre côté.

Tenir les abdominaux.";Superman;2X10 à 12 répétitions;épaule
7.5 - Gainage oblique au sol couché sur dos + toucher talon;Obliques;"Couché sur le dos avec les mains le long du corps.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Genoux fléchis.";"Relever le buste et rapprocher la main du talon

Revenir en position départ et repartir de l’autre côté.

Expirez à chaque inclinaison.";;3x 15 à 20 répétitions;Aucune
Triceps 1 bras en appui sur ballon + élastique;Triceps, épaules, abdominaux.;"Un genou et une main en appui sur le ballon. L’autre jambe est tendue au sol avec le genou fléchit.

Le coude fléchit à 90° près du corps.

Courbe du dos neutre et incliné vers l’avant.

Tête dans le prolongement de la colonne vertébrale.";"Tendre le bras sans bouger le coude.

Revenir lentement en fléchissant le coude à 90°

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
2.4 - Pompe à genoux mains écartées;pectoraux, triceps.;"A quatre pattes, les mains plus larges que les épaules et les genoux à 45°.

Courbe lombaire neutre.";"Descendre le buste en fléchissant les deux coudes et rapprocher le visage du sol.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;Douleurs épaules
Presse à cuisse incliné;Fessier, cuisse, ischio, mollet.;"Assis et le dos contre le siège.

Pieds largeur des épaules sur le haut du plateau.

Les jambes sont tendues et les genoux souples.";"Descendre le siège vers le plateau en fléchissant les genoux jusqu’à faire un angle de 90°.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Fessier, Jambe;3x 12 répétitions;aucune
Tirage assis à la poulie basse;Grand dorsal, biceps.;"Assis sur le banc avec la courbe du dos neutre.

Jambes tendues avec une petite flexion des genoux.

Bras tendus vers l’avant.

Les deux pieds sur le plateau.";"Tirer la barre vers le nombril et ouvrir la poitrine.

Revenir les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
1.5 - Gainage oblique au sol sur les genoux;Obliques et épaules.;"Coude et épaule alignés en appui sur les genoux.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Genoux fléchis.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Abdominaux;1x 30 à 60 secondes.;Aucune
Triceps dips genoux fléchis;Triceps, épaules.;"Les mains sur le banc légèrement plus large que les épaules.

Les coudes fléchis à 90°.

Le corps près du banc.

Les genoux fléchis.";"Tendre les bras sans bloquer les coudes, en restant près du banc.

Revenir lentement en fléchissant le coude à 90° sans monter les épaules.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite, épaule
Dos unilatéral à genoux au sol;Dos;A genoux, l’épaule gauche au sol.;"Pousser le bras gauche et faire glisser légèrement l’épaule vers le côté droit.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Dos;Maintenir 1 minute et plus.;aucune
Fente pied avant sur le step + haltère;Fessier, cuisse, ischio, mollet.;"Pied avant sur le step.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltères aux mains.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximum.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Squat avec poids du corps;Fessier, cuisse, ischio, mollet.;Debout, pieds parallèles largeur des épaules;"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x12 répétitions;aucune
;;;;;;
Oiseau position de squat + haltère;Haut du dos, épaules.;"Pieds largeur des épaules.

Genoux fléchit et le dos penché en avant à partir des hanches.

La courbe lombaire neutre.

La tête dans le prolongement de la colonne.

Les bras tendus le long du corps.";"Soulever les haltères sur le côté jusqu’à ce qu’ils soient parallèles au sol.

Serrer les omoplates et garder les coudes souples.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Oiseau;3X15 répétitions;épaule
Extension de hanche à quatre pattes genoux fléchis ;Fessier, épaules.;"A quatre pattes, les mains sont en appui au sol et plus large que l’axe des épaules.

Genoux et hanche forme un angle de 90°.

Elastique band autour et au-dessus des genoux.

Courbe lombaire neutre.";"Monter le talon vers le plafond en maintenant le genou fléchit.

Puis revenir en position de départ sans poser le genou au sol.

Expirer lors de la montée et tenir les abdominaux.";Extension;3x 15 répétitions;dos
5.6 - Gainage planche sur les pieds;Transverse, épaule.;"Coude et épaule alignés en appuie sur les avant-bras et les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Cuisse;3x 30 à 60 secondes;problème cardio vasculaire
DV couché banc + barre libre;Pectoraux, triceps.;"Couché sur le banc, courbe lombaire neutre et les pieds ancrés au sol.

Les bras tendus avec la barre à hauteur du haut de la poitrine.

Prise de la barre large.";"Descendre la barre sur le haut de la poitrine en fléchissant les coudes.

Remonter la barre bras tendu sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Développé;3x15 répétitions;épaule
Elévation frontale en appui sur le ballon + haltère;épaules, abdominaux.;"Couché sur le côté et en appui sur le ballon.

Le bras tendu vers le bas et l’autre bras en maintient main au sol.

Courbe lombaire neutre.";"Monter le bras à hauteur de l’épaules et pas plus !

Revenir en maintenant les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Elévation;3x15 répétitions;épaule
3.6 - Pullover couché au sol + haltère;pectoraux, épaules, triceps.;"Couché au sol, les genoux fléchis.

Les bras tendus avec l’haltère à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre les bras tendus derrière la tête sans bloquer les coudes à hauteur des oreilles.

Puis remonter les bras tendus vers l’avant, à hauteur des côtes.

Tenir les abdominaux.";;3x 15 à 20 répétitions;Douleurs épaules
;;;;;;
Pullover couché ballon + pieds banc + haltère;Pectoraux, épaules, triceps.;"La tête et les omoplates en appui sur le ballon, le bassin décollé, les pieds sur le banc.

Les bras tendus avec les haltères à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre les bras tendus derrière la tête sans bloquer les coudes à hauteur des oreilles.

Puis remonter les bras tendus vers l’avant, à hauteur des côtes.

Tenir les abdominaux.";Pullover;3x12 répétitions;épaule, dos
Extension de hanche à quatre pattes avec genoux fléchis + élastique;Fessier, ischio, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe avec le genou fléchis.

Elastique au centre du corps.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Extension;3x15 répétitions;aucune
Tirage bras tendus à genoux bosu + poulie haute;Grand dorsal, biceps.;"A genoux au centre du bosu.

Bras tenus vers l’avant, main à hauteur des épaules.

Courbe lombaire neutre.";"Tirer la barre vers les cuisses.

Revenir lentement, mains à hauteur des épaules.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Gainage Jacknif 1 jambe sur le ballon (niveau 1).;Transverse, épaule, cuisse.;"Main et épaule alignés en appui au sol.

Le genou et le milieu de la cuisse en appui sur le centre du ballon.

L’autre jambe décollé du ballon et tendue.

Tête dans le prolongement de la colonne.";"Main et épaule alignés en appui au sol.

Le genou et le milieu de la cuisse en appui sur le centre du ballon.

L’autre jambe décollé du ballon et tendue.

Tête dans le prolongement de la colonne.";Gainage;2x 12 répétitions;poignet
Armenian dead lift avec haltère;Fessier, cuisse, ischio, mollet.;"Debout sur une jambe avec le genou légèrement fléchit.

Ketter bell ou haltère aux mains";"Pencher le dos (en l’allongeant) à partir des deux hanches et maintenir la courbe lombaire.

Fléchir le genou en gardant toujours le corps parallèle au sol.

Revenir en tendant le genou et en redressant le tronc.

Tenir les abdominaux.";Fente;3x15 répétitions;genoux
Pompe sur le ballon tout niveau;Pectoraux, triceps, abdominaux.;"Le bassin, le ventre et le milieu des cuisses en appui sur le ballon.

Les mains légèrement en avant et plus large que les épaules.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Pompe mains sur le ballon + pieds au sol;Pectoraux, triceps, abdominaux.;"Les mains à l’extérieur du ballon sans casser les poignets.

Les deux pieds au sol.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes en stabilisant le ballon.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
6.2 - Jump sur le step;fessier, cuisse, ischio, mollet.;"Debout devant le step, les pieds largeur des épaules.

Les coudes fléchis et les bras en avant.";"Sauter sur le step et s’assoir en poussant le fessier en arrière avec l’arrière cuisse

parallèlement au sol. Le dos s’incline à 45° vers l’avant.

Descendre un pied après l’autre.

Tenir les abdominaux. Tenir les abdominaux.";;3x 30 secondes;Genoux
Gainage roll à genoux + avant-bras sur le ballon;Transverse, épaule, bas du dos.;"Genoux face au ballon.

Avant-bras sur le dessus du ballon

Dos penché légèrement vers l’avant.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Faire rouler le ballon vers l’avant en partant avec le haut du dos puis le tronc.

Maintenant le bassin ferme.

Revenir en position de départ avec maintenant le haut du dos.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 12 répétitions;épaule et bas du dos.
5.2 - Fente pied avant sur le step + haltère;fessier, cuisse, ischio, mollet.;"Pied avant sur le step.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltères aux mains.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Cuisse;3x 15 répétitions;genoux
Triceps debout + poulie et corde;Triceps, épaules.;"Debout en appui sur une jambe, les genoux légèrement fléchis.

Les bras fléchis à 90 °

Allonger la colonne vertébrale.";"Tendre les bras sans écarter les coudes de la taille puis revenir en fléchissant les coudes à

90°.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)
Gainage oblique avant-bras le bosu + pieds sol;Obliques et épaules.;"Coude et épaule alignés en appuie au centre du bosu.

Pieds joints au sol.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Gainage, Oblique;2x 30 à 60 secondes.;problème cardio vasculaire
Sumo Squat sol + ketter bell;Fessier, cuisse, ischio, mollet.;"Debout, jambes écartées et les pointes de pieds vers l’extérieur.

Ketter bell aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux avancent vers la pointe des pieds lors du mouvement.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux
8.4 - Superman couché au sol.;grand dorsal, lombaires.;"A plat ventre au sol avec la tête au sol.

Les bras tendus vers l’avant.

Courbe lombaire neutre.";"Monter le bras droit en même temps que la jambe gauche.

Allez chercher l’allongement du bras et de la jambe durant le mouvement.

Revenir lentement en position de départ et alterner avec l’autre côté.

Tenir les abdominaux.";;2x 12 répétitions;Aucune
Adduction couché sur le côté;Adducteur.;"Couché sur le côté. La tête repose sur un bras et l’autre main est sur la hanche.

Ouvrir la cage thoracique et laisser un espace au niveau de votre taille.

La jambe côté plafond est fléchit à 45°.

Abdominaux contractés.";"Soulever la jambe en décollant le genou et le milieu de la cuisse du sol.

Revenir sans poser le pied au sol.

Expirer lors de l’adduction.";Abduction;3x15 répétitions;aucune
Fente guidée sur machine Smith;Fessier, cuisse, ischio, mollet.;"Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Positionner la barre sur le haut du dos et non pas sur la nuque.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximum.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fessier, Jambe;3x 12 répétitions;genoux
Abduction de hanche assis (profile);Abducteur, TFL, moyen fessier.;"Assis au bout du banc, la courbe du dos neutre et le dos allongé.

Les mains en appui derrière les hanches et les pieds parallèle au sol.

L’élastique band au-dessus des genoux.";"Tirer l’élastique bande vers l’extérieur et ouvrir les genoux.

Revenir les genoux dans l’axe des hanches.

Expirer lors du mouvement et tenir les abdominaux";Fessier jambe;3x 15 à 20 répétitions;aucune
;;;;;;
Bascule de bassin sur le côté assis ballon;Lombaires, abdominaux.;"Assis sur le ballon avec la courbe lombaire neutre.

Allonger la colonne vertébrale.";"Basculer le bassin sur le côté et faire rouler le ballon.

Revenir en position de départ lentement en allongeant la colonne vertébrale.

Tenir les abdominaux.";Bascule du bassin;2X10 à 12 répétitions;aucune
